NOMBRE,provincia
BASE BELGRANO II,ANTARTIDA
BASE CARLINI (EX JUBANY),ANTARTIDA
BASE ESPERANZA,ANTARTIDA
BASE MARAMBIO,ANTARTIDA
BASE ORCADAS,ANTARTIDA
BASE SAN MARTIN,ANTARTIDA
AZUL AERO,BUENOS AIRES
BAHIA BLANCA AERO,BUENOS AIRES
BENITO JUAREZ AERO,BUENOS AIRES
BOLIVAR AERO,BUENOS AIRES
CAMPO DE MAYO AERO,BUENOS AIRES
CORONEL PRINGLES AERO,BUENOS AIRES
CORONEL SUAREZ AERO,BUENOS AIRES
DOLORES AERO,BUENOS AIRES
EL PALOMAR AERO,BUENOS AIRES
EZEIZA AERO,BUENOS AIRES
JUNIN AERO,BUENOS AIRES
LA PLATA AERO,BUENOS AIRES
LAS FLORES,BUENOS AIRES
MAR DEL PLATA AERO,BUENOS AIRES
MARIANO MORENO AERO,BUENOS AIRES
MERLO AERO,BUENOS AIRES
MORON AERO,BUENOS AIRES
NUEVE DE JULIO,BUENOS AIRES
OLAVARRIA AERO,BUENOS AIRES
PEHUAJO AERO,BUENOS AIRES
PIGUE AERO,BUENOS AIRES
PUNTA INDIO B.A.,BUENOS AIRES
SAN FERNANDO AERO,BUENOS AIRES
TANDIL AERO,BUENOS AIRES
TRENQUE LAUQUEN,BUENOS AIRES
TRES ARROYOS,BUENOS AIRES
VILLA GESELL AERO,BUENOS AIRES
AEROPARQUE AERO,CAPITAL FEDERAL
BUENOS AIRES OBSERVATORIO,CAPITAL FEDERAL
CATAMARCA AERO,CATAMARCA
TINOGASTA,CATAMARCA
PRESIDENCIA ROQUE SAENZ PEÃ‘A A CHACO,-26
ERO,
RESISTENCIA AERO,CHACO
COMODORO RIVADAVIA AERO,CHUBUT
ESQUEL AERO,CHUBUT
PASO DE INDIOS,CHUBUT
PUERTO MADRYN AERO,CHUBUT
TRELEW AERO,CHUBUT
CORDOBA AERO,CORDOBA
CORDOBA OBSERVATORIO,CORDOBA
ESCUELA DE AVIACION MILITAR AE CORDOBA,-31
RO,
LABOULAYE AERO,CORDOBA
MARCOS JUAREZ AERO,CORDOBA
PILAR OBSERVATORIO,CORDOBA
RIO CUARTO AERO,CORDOBA
VILLA DE MARIA DEL RIO SECO,CORDOBA
VILLA DOLORES AERO,CORDOBA
CORRIENTES AERO,CORRIENTES
ITUZAINGO,CORRIENTES
MERCEDES AERO (CTES),CORRIENTES
MONTE CASEROS AERO,CORRIENTES
PASO DE LOS LIBRES AERO,CORRIENTES
CONCORDIA AERO,ENTRE RIOS
GUALEGUAYCHU AERO,ENTRE RIOS
PARANA AERO,ENTRE RIOS
FORMOSA AERO,FORMOSA
LAS LOMITAS,FORMOSA
JUJUY AERO,JUJUY
JUJUY U N,JUJUY
LA QUIACA OBSERVATORIO,JUJUY
GENERAL PICO AERO,LA PAMPA
SANTA ROSA AERO,LA PAMPA
VICTORICA,LA PAMPA
CHAMICAL AERO,LA RIOJA
CHEPES,LA RIOJA
CHILECITO AERO,LA RIOJA
LA RIOJA AERO,LA RIOJA
MALARGUE AERO,MENDOZA
MENDOZA AERO,MENDOZA
MENDOZA OBSERVATORIO,MENDOZA
SAN MARTIN (MZA),MENDOZA
SAN RAFAEL AERO,MENDOZA
USPALLATA,MENDOZA
BERNARDO DE IRIGOYEN AERO,MISIONES
IGUAZU AERO,MISIONES
OBERA,MISIONES
POSADAS AERO,MISIONES
CHAPELCO AERO,NEUQUEN
NEUQUEN AERO,NEUQUEN
BARILOCHE AERO,RIO NEGRO
CIPOLLETTI,RIO NEGRO
EL BOLSON AERO,RIO NEGRO
MAQUINCHAO,RIO NEGRO
SAN ANTONIO OESTE AERO,RIO NEGRO
VIEDMA AERO,RIO NEGRO
METAN,SALTA
ORAN AERO,SALTA
RIVADAVIA,SALTA
SALTA AERO,SALTA
TARTAGAL AERO,SALTA
JACHAL,SAN JUAN
SAN JUAN AERO,SAN JUAN
SAN LUIS AERO,SAN LUIS
SANTA ROSA DE CONLARA AERO,SAN LUIS
VILLA REYNOLDS AERO,SAN LUIS
EL CALAFATE AERO,SANTA CRUZ
GOBERNADOR GREGORES AERO,SANTA CRUZ
PERITO MORENO AERO,SANTA CRUZ
PUERTO DESEADO AERO,SANTA CRUZ
RIO GALLEGOS AERO,SANTA CRUZ
SAN JULIAN AERO,SANTA CRUZ
SANTA CRUZ AERO,SANTA CRUZ
CERES AERO,SANTA FE
EL TREBOL,SANTA FE
RAFAELA AERO,SANTA FE
RECONQUISTA AERO,SANTA FE
ROSARIO AERO,SANTA FE
SAUCE VIEJO AERO,SANTA FE
SUNCHALES AERO,SANTA FE
VENADO TUERTO AERO,SANTA FE
SANTIAGO DEL ESTERO AERO,SANTIAGO DEL ESTERO
TERMAS DE RIO HONDO AERO,SANTIAGO DEL ESTERO
RIO GRANDE B.A.,TIERRA DEL FUEGO
USHUAIA AERO,TIERRA DEL FUEGO
TUCUMAN AERO,TUCUMAN
